epsilon,method,metric,median_mixing_time,q10_mixing_time,q90_mixing_time,n_points,n_censored,censoring_fraction,maximum_censoring_time,threshold,bias_floor,N_particles
0.125,LSC-CP,W1,2.16,2.08,2.212,8,0,0.0,16.0,0.08251355249000969,0.0275045174966699,6000
0.125,LSC-CP,bin_chi2_M120,1.08,1.04,1.12,8,0,0.0,16.0,0.14,0.024536733333333335,6000
0.125,LSC-CP,bin_chi2_M40,1.46,1.4000000000000001,1.492,8,0,0.0,16.0,0.06,0.009588177777777776,6000
0.125,LSC-CP,bin_chi2_M80,1.2,1.2,1.252,8,0,0.0,16.0,0.1,0.017521377777777774,6000
0.125,LSC-CP,well_TV,1.74,1.72,1.84,8,0,0.0,16.0,0.075,0.013895000000000003,6000
0.125,Langevin,CDF_sup,38.806129089098974,38.22535708912607,39.80928072541582,8,0,0.0,105.5949090859836,0.06,0.018116666666666635,6000
0.125,Langevin,KDE_chi2,26.92670181692582,26.583518362396372,27.428277635084243,8,0,0.0,105.5949090859836,0.06891345913254227,0.022971153044180754,6000
0.125,Langevin,W1,44.4818554524706,43.71629236159722,45.64339945241642,8,0,0.0,105.5949090859836,0.08251355249000969,0.0275045174966699,6000
0.125,Langevin,bin_chi2_M120,20.195026362694364,19.79904545362193,20.93419072629625,8,0,0.0,105.5949090859836,0.14,0.024536733333333335,6000
0.125,Langevin,bin_chi2_M40,27.718663635070698,26.66271454421086,27.797859816885186,8,0,0.0,105.5949090859836,0.06,0.009588177777777776,6000
0.125,Langevin,bin_chi2_M80,22.834899089843958,22.280525817142543,23.57406345344584,8,0,0.0,105.5949090859836,0.1,0.017521377777777774,6000
0.125,Langevin,well_TV,35.24230090744703,34.58233272565963,35.87587036196293,8,0,0.0,105.5949090859836,0.075,0.013895000000000003,6000
0.14,LSC-CP,CDF_sup,2.0,1.96,2.052,8,0,0.0,16.0,0.06,0.01786958333333334,6000
0.14,LSC-CP,KDE_chi2,1.52,1.456,1.572,8,0,0.0,16.0,0.05218534762153856,0.017395115873846186,6000
0.14,LSC-CP,W1,2.12,2.068,2.36,8,0,0.0,16.0,0.08360493727731985,0.027868312425773284,6000
0.14,LSC-CP,bin_chi2_M120,1.08,1.04,1.12,8,0,0.0,16.0,0.14,0.026020133333333334,6000
0.14,LSC-CP,bin_chi2_M40,1.4000000000000001,1.348,1.4240000000000002,8,0,0.0,16.0,0.06,0.008667199999999998,6000
0.14,LSC-CP,bin_chi2_M80,1.2,1.188,1.24,8,0,0.0,16.0,0.1,0.018596488888888884,6000
0.14,LSC-CP,well_TV,1.8,1.708,1.852,8,0,0.0,16.0,0.075,0.015153333333333295,6000
0.14,Langevin,CDF_sup,31.417268653172087,30.770135544701436,32.62803382385912,8,0,0.0,83.50104625427798,0.06,0.01786958333333334,6000
0.14,Langevin,KDE_chi2,23.58904556683353,23.17154033556214,24.069176582795627,8,0,0.0,83.50104625427798,0.05218534762153856,0.017395115873846186,6000
0.14,Langevin,W1,35.1748157346146,32.85766170105838,36.656959305628035,8,0,0.0,83.50104625427798,0.08360493727731985,0.027868312425773284,6000
0.14,Langevin,bin_chi2_M120,16.178327711766357,16.07395140394851,16.700209250855597,8,0,0.0,83.50104625427798,0.14,0.026020133333333334,6000
0.14,Langevin,bin_chi2_M40,22.02340094956582,21.647646241421565,22.75403510429075,8,0,0.0,83.50104625427798,0.06,0.008667199999999998,6000
0.14,Langevin,bin_chi2_M80,18.57898279157685,18.09885177561475,19.100864330666088,8,0,0.0,83.50104625427798,0.1,0.018596488888888884,6000
0.14,Langevin,well_TV,28.390355726454512,28.202478372382387,28.99573831179803,8,0,0.0,83.50104625427798,0.075,0.015153333333333295,6000
0.16,LSC-CP,CDF_sup,1.96,1.92,2.04,8,0,0.0,16.0,0.06,0.018626250000000004,6000
0.16,LSC-CP,KDE_chi2,1.44,1.44,1.492,8,0,0.0,16.0,0.05,0.015002806081204658,6000
0.16,LSC-CP,W1,2.04,1.988,2.184,8,0,0.0,16.0,0.08,0.0266237201526247,6000
0.16,LSC-CP,bin_chi2_M120,1.04,1.04,1.08,8,0,0.0,16.0,0.14,0.026612866666666655,6000
0.16,LSC-CP,bin_chi2_M40,1.36,1.336,1.372,8,0,0.0,16.0,0.06,0.008686022222222221,6000
0.16,LSC-CP,bin_chi2_M80,1.16,1.12,1.212,8,0,0.0,16.0,0.1,0.017484577777777774,6000
0.16,LSC-CP,well_TV,1.74,1.6400000000000001,1.796,8,0,0.0,16.0,0.075,0.015005000000000017,6000
0.16,Langevin,CDF_sup,24.5530695228616,23.7751504884739,24.893409100406213,8,0,0.0,64.82658619897451,0.06,0.018626250000000004,6000
