epsilon,method,metric,estimator,seed,observed_mixing_time,censored,accepted,acceptance_reason,n_fit,window_start,window_end,window_initial_value,window_final_value,slope_log_chi2,slope_standard_error,lambda_eff,log_R2,residual_RMSE_log,predicted_threshold_time,noise_cutoff,upper_window_cutoff,predicted_to_observed_ratio
0.045,Langevin,KDE_chi2,seed,3,410.9355954277001,False,False,fewer than eight eligible contiguous points,0,,,,,,,,,,,,,
0.045,Langevin,KDE_chi2,seed,4,400.3987852885283,False,False,fewer than eight eligible contiguous points,2,,,,,,,,,,,,,
0.045,Langevin,KDE_chi2,seed,5,400.3987852885283,False,False,fewer than eight eligible contiguous points,0,,,,,,,,,,,,,
0.045,Langevin,KDE_chi2,seed,6,432.0092157060437,False,False,fewer than eight eligible contiguous points,1,,,,,,,,,,,,,
0.045,Langevin,KDE_chi2,seed,7,410.9355954277001,False,False,fewer than eight eligible contiguous points,1,,,,,,,,,,,,,
0.045,Langevin,bin_chi2_M120,seed,0,758.6503300203693,False,True,accepted,61,94.83129125254617,727.039899602854,0.7808800000000002,0.14526666666666666,-0.0026408974028643644,2.913866998557861e-05,0.0013204487014321822,0.9928685122579909,0.04152271401521418,745.6627337740115,0.054968266666666654,0.8,
0.045,Langevin,bin_chi2_M120,seed,1,748.1135198811976,False,True,accepted,60,94.83129125254617,716.5030894636822,0.7620733333333334,0.15001333333333333,-0.0026509056695219503,3.1030974817695985e-05,0.0013254528347609752,0.9921151692891961,0.04312398344133132,734.0092091610993,0.054968266666666654,0.8,
0.045,Langevin,bin_chi2_M120,seed,2,748.1135198811976,False,True,accepted,62,94.83129125254617,737.5767097420257,0.7844600000000002,0.14557333333333333,-0.0026431936011539,2.9249207363491772e-05,0.00132159680057695,0.9927063935855809,0.042721200724724996,746.8278607134973,0.054968266666666654,0.8,
0.045,Langevin,bin_chi2_M120,seed,3,737.5767097420257,False,True,accepted,58,94.83129125254617,695.4294691853386,0.7799666666666669,0.15875333333333336,-0.0026965607854565915,2.952156274025529e-05,0.0013482803927282957,0.993332836937701,0.03896864654328985,731.7940366807375,0.054968266666666654,0.8,
0.045,Langevin,bin_chi2_M120,seed,4,758.6503300203693,False,True,accepted,63,94.83129125254617,748.1135198811976,0.7582266666666668,0.15158666666666668,-0.0026634644678538094,3.38306477747289e-05,0.0013317322339269047,0.990254514530629,0.05062669705429189,729.0954127614681,0.054968266666666654,0.8,
