method,quantity,metric,estimator,epsilon_subset,preferred_AIC,preferred_BIC,preferred_LOO,selected_family,arrhenius_votes,polynomial_votes,delta_AIC_poly_minus_arr,delta_BIC_poly_minus_arr,delta_LOO_poly_minus_arr
LSC-CP,mixing_time,bin_chi2_M40,particle_threshold,exclude_largest_2,polynomial,polynomial,polynomial,polynomial,0,3,-82.3550231193575,-82.3550231193575,-0.34131761145017436
LSC-CP,mixing_time,bin_chi2_M40,particle_threshold,lowest_12,polynomial,polynomial,polynomial,polynomial,0,3,-8.721532018495225,-8.721532018495225,-0.07501525871342807
LSC-CP,mixing_time,bin_chi2_M40,particle_threshold,lowest_10,polynomial,polynomial,polynomial,polynomial,0,3,-1.4643594253024617,-1.4643594253024617,-0.024533180556951528
LSC-CP,mixing_time,bin_chi2_M40,particle_threshold,lowest_8,polynomial,polynomial,polynomial,polynomial,0,3,-0.6099858148382395,-0.6099858148382395,-0.016780080130786246
LSC-CP,mixing_time,bin_chi2_M40,particle_threshold,uncensored_only,polynomial,polynomial,polynomial,polynomial,0,3,-127.86657752508074,-127.86657752508074,-0.4485464047709391
LSC-CP,mixing_time,bin_chi2_M40,particle_threshold,reliable_rate_window_only,polynomial,polynomial,polynomial,polynomial,0,3,-127.86657752508074,-127.86657752508074,-0.4485464047709391
LSC-CP,chi2_effective_rate,bin_chi2_M80,seed_mean_window,all,polynomial,polynomial,polynomial,polynomial,0,3,-29.638113948988106,-29.6381139489881,-0.005053292546418753
LSC-CP,chi2_effective_rate,bin_chi2_M80,seed_mean_window,exclude_largest_2,polynomial,polynomial,polynomial,polynomial,0,3,-21.908772726070737,-21.908772726070744,-0.0031879019214359136
LSC-CP,chi2_effective_rate,bin_chi2_M80,seed_mean_window,lowest_12,polynomial,polynomial,polynomial,polynomial,0,3,-9.32151415503327,-9.32151415503327,-0.00034587092686532084
LSC-CP,chi2_effective_rate,bin_chi2_M80,seed_mean_window,lowest_10,polynomial,polynomial,polynomial,polynomial,0,3,-5.8043679104365395,-5.8043679104365395,-0.00012323820284564782
LSC-CP,chi2_effective_rate,bin_chi2_M80,seed_mean_window,lowest_8,polynomial,polynomial,polynomial,polynomial,0,3,-3.5776307379017993,-3.5776307379017993,-3.773736826534875e-05
LSC-CP,chi2_effective_rate,bin_chi2_M80,seed_mean_window,uncensored_only,polynomial,polynomial,polynomial,polynomial,0,3,-29.638113948988106,-29.6381139489881,-0.005053292546418753
LSC-CP,chi2_effective_rate,bin_chi2_M80,seed_mean_window,reliable_rate_window_only,polynomial,polynomial,polynomial,polynomial,0,3,-29.638113948988106,-29.6381139489881,-0.005053292546418753
LSC-CP,mixing_time,bin_chi2_M80,particle_threshold,all,polynomial,polynomial,polynomial,polynomial,0,3,-118.53197400049794,-118.53197400049794,-0.41326608956715427
LSC-CP,mixing_time,bin_chi2_M80,particle_threshold,exclude_largest_2,polynomial,polynomial,polynomial,polynomial,0,3,-75.4163571939323,-75.4163571939323,-0.3108780799642388
LSC-CP,mixing_time,bin_chi2_M80,particle_threshold,lowest_12,polynomial,polynomial,polynomial,polynomial,0,3,-5.973561563156636,-5.973561563156636,-0.05134648623289273
LSC-CP,mixing_time,bin_chi2_M80,particle_threshold,lowest_10,polynomial,polynomial,polynomial,polynomial,0,3,-0.2036800110526542,-0.2036800110526542,-0.01150036698835466
LSC-CP,mixing_time,bin_chi2_M80,particle_threshold,lowest_8,polynomial,polynomial,polynomial,polynomial,0,3,-0.08027707936997786,-0.08027707936997786,-0.012847015113666593
LSC-CP,mixing_time,bin_chi2_M80,particle_threshold,uncensored_only,polynomial,polynomial,polynomial,polynomial,0,3,-118.53197400049794,-118.53197400049794,-0.41326608956715427
LSC-CP,mixing_time,bin_chi2_M80,particle_threshold,reliable_rate_window_only,polynomial,polynomial,polynomial,polynomial,0,3,-118.53197400049794,-118.53197400049794,-0.41326608956715427
LSC-CP,chi2_effective_rate,bin_chi2_M120,seed_mean_window,all,polynomial,polynomial,polynomial,polynomial,0,3,-28.574836573749323,-28.574836573749316,-0.004593293264457047
LSC-CP,chi2_effective_rate,bin_chi2_M120,seed_mean_window,exclude_largest_2,polynomial,polynomial,polynomial,polynomial,0,3,-22.17942179518441,-22.179421795184403,-0.0026305036309953837
LSC-CP,chi2_effective_rate,bin_chi2_M120,seed_mean_window,lowest_12,polynomial,polynomial,polynomial,polynomial,0,3,-7.633531047478797,-7.633531047478797,-0.00028970329341420275
LSC-CP,chi2_effective_rate,bin_chi2_M120,seed_mean_window,lowest_10,polynomial,polynomial,polynomial,polynomial,0,3,-4.576403977751184,-4.576403977751184,-6.012036083284834e-05
LSC-CP,chi2_effective_rate,bin_chi2_M120,seed_mean_window,lowest_8,polynomial,polynomial,polynomial,polynomial,0,3,-0.5818252207247667,-0.5818252207247667,-3.314981941420674e-06
LSC-CP,chi2_effective_rate,bin_chi2_M120,seed_mean_window,uncensored_only,polynomial,polynomial,polynomial,polynomial,0,3,-28.574836573749323,-28.574836573749316,-0.004593293264457047
LSC-CP,chi2_effective_rate,bin_chi2_M120,seed_mean_window,reliable_rate_window_only,polynomial,polynomial,polynomial,polynomial,0,3,-28.574836573749323,-28.574836573749316,-0.004593293264457047
LSC-CP,mixing_time,bin_chi2_M120,particle_threshold,all,polynomial,polynomial,polynomial,polynomial,0,3,-96.16338602969216,-96.16338602969216,-0.3306191456297336
LSC-CP,mixing_time,bin_chi2_M120,particle_threshold,exclude_largest_2,polynomial,polynomial,polynomial,polynomial,0,3,-59.87568039929357,-59.87568039929357,-0.23630458121501685
LSC-CP,mixing_time,bin_chi2_M120,particle_threshold,lowest_12,polynomial,polynomial,polynomial,polynomial,0,3,-1.1884206881504724,-1.1884206881504724,-0.006605991331465555
LSC-CP,mixing_time,bin_chi2_M120,particle_threshold,lowest_10,arrhenius,arrhenius,arrhenius,arrhenius,3,0,0.5713407397606147,0.5713407397606147,0.007114575227950226
LSC-CP,mixing_time,bin_chi2_M120,particle_threshold,lowest_8,arrhenius,arrhenius,polynomial,arrhenius,2,1,0.046784854940653986,0.046784854940653986,-0.004468692561579557
LSC-CP,mixing_time,bin_chi2_M120,particle_threshold,uncensored_only,polynomial,polynomial,polynomial,polynomial,0,3,-96.16338602969216,-96.16338602969216,-0.3306191456297336
LSC-CP,mixing_time,bin_chi2_M120,particle_threshold,reliable_rate_window_only,polynomial,polynomial,polynomial,polynomial,0,3,-96.16338602969216,-96.16338602969216,-0.3306191456297336
