epsilon,replicate,metric,bias_floor_value,N_particles,KDE_bandwidth
0.26,14,truncated_KDE_chi2,0.0058727698055781805,2400,0.06129791897257511
0.26,14,well_TV,0.01583333333333342,2400,0.06129791897257511
0.26,14,W1,0.023749025483181682,2400,0.06129791897257511
0.26,14,CDF_sup,0.019845786483627725,2400,0.06129791897257511
0.26,15,truncated_KDE_chi2,0.005480774630761061,2400,0.06129791897257511
0.26,15,well_TV,0.0029166666666667895,2400,0.06129791897257511
0.26,15,W1,0.011092257401571028,2400,0.06129791897257511
0.26,15,CDF_sup,0.013759506708102553,2400,0.06129791897257511
0.26,16,truncated_KDE_chi2,0.0034511208192835457,2400,0.06129791897257511
0.26,16,well_TV,0.005416666666666514,2400,0.06129791897257511
0.26,16,W1,0.017717936703099423,2400,0.06129791897257511
0.26,16,CDF_sup,0.014275567773763875,2400,0.06129791897257511
0.26,17,truncated_KDE_chi2,0.004441755555819118,2400,0.06129791897257511
0.26,17,well_TV,0.0004166666666667873,2400,0.06129791897257511
0.26,17,W1,0.011817643360009344,2400,0.06129791897257511
0.26,17,CDF_sup,0.010932869439545134,2400,0.06129791897257511
0.26,18,truncated_KDE_chi2,0.008234248473466738,2400,0.06129791897257511
0.26,18,well_TV,0.02250000000000013,2400,0.06129791897257511
0.26,18,W1,0.03558221773714877,2400,0.06129791897257511
0.26,18,CDF_sup,0.028559584306058206,2400,0.06129791897257511
0.26,19,truncated_KDE_chi2,0.007326238613420158,2400,0.06129791897257511
0.26,19,well_TV,0.005416666666666792,2400,0.06129791897257511
0.26,19,W1,0.016126945227666462,2400,0.06129791897257511
0.26,19,CDF_sup,0.01661754162514062,2400,0.06129791897257511
0.26,20,truncated_KDE_chi2,0.005066562937081126,2400,0.06129791897257511
0.26,20,well_TV,0.0037500000000000866,2400,0.06129791897257511
0.26,20,W1,0.01435434256423273,2400,0.06129791897257511
0.26,20,CDF_sup,0.014175299837489552,2400,0.06129791897257511
0.26,21,truncated_KDE_chi2,0.0024256465186655515,2400,0.06129791897257511
0.26,21,well_TV,0.0025000000000001132,2400,0.06129791897257511
0.26,21,W1,0.007519493923855673,2400,0.06129791897257511
0.26,21,CDF_sup,0.008787665575908987,2400,0.06129791897257511
0.26,22,truncated_KDE_chi2,0.003938301517245373,2400,0.06129791897257511
0.26,22,well_TV,0.004583333333333439,2400,0.06129791897257511
0.26,22,W1,0.012406203188658958,2400,0.06129791897257511
0.26,22,CDF_sup,0.010786434914721033,2400,0.06129791897257511
0.26,23,truncated_KDE_chi2,0.004096944520529792,2400,0.06129791897257511
0.26,23,well_TV,0.004166666666666763,2400,0.06129791897257511
0.26,23,W1,0.0102365378414779,2400,0.06129791897257511
0.26,23,CDF_sup,0.011130453105109184,2400,0.06129791897257511
0.22,0,truncated_KDE_chi2,0.005522193341936453,2400,0.05753211211048985
0.22,0,well_TV,0.005416666666666792,2400,0.05753211211048985
0.22,0,W1,0.01381798012047026,2400,0.05753211211048985
0.22,0,CDF_sup,0.011972580435770985,2400,0.05753211211048985
0.22,1,truncated_KDE_chi2,0.0052333088224059705,2400,0.05753211211048985
0.22,1,well_TV,0.01333333333333342,2400,0.05753211211048985
0.22,1,W1,0.029667453190255072,2400,0.05753211211048985
0.22,1,CDF_sup,0.021940166273099915,2400,0.05753211211048985
0.22,2,truncated_KDE_chi2,0.005706810083603856,2400,0.05753211211048985
0.22,2,well_TV,0.014583333333333448,2400,0.05753211211048985
0.22,2,W1,0.03558421685921847,2400,0.05753211211048985
0.22,2,CDF_sup,0.024771053612706262,2400,0.05753211211048985
0.22,3,truncated_KDE_chi2,0.00842003403304032,2400,0.05753211211048985
0.22,3,well_TV,0.004999999999999893,2400,0.05753211211048985
0.22,3,W1,0.013151662030278309,2400,0.05753211211048985
0.22,3,CDF_sup,0.017817470394959622,2400,0.05753211211048985
0.22,4,truncated_KDE_chi2,0.0052876671650056275,2400,0.05753211211048985
0.22,4,well_TV,0.0012499999999998623,2400,0.05753211211048985
0.22,4,W1,0.010314657745714622,2400,0.05753211211048985
0.22,4,CDF_sup,0.013682519110339353,2400,0.05753211211048985
